% Solution file for optimization using opiFit
% Start time: 18-Aug-2021 21:25:14
% Original run path:
% run024_NP-SP
% Run title:
run 024, north & south Patagonia, opi 3.6 with lee-side evaporation, free kappa, and new samples
% Number of observations:
305
% Parameter labels:
U (m/s)|azimuth|T_0 (K)|M|\kappa (m^2/s)|\tau_c (s)|\delta^{2}_0 (‰)|d\delta^{2}_0/d\phi (‰/°)|f_P
% Exponent for power of 10 factoring for plotted variables labeled above:
0	0	0	0	0	0	-3	-3	0
% Lower and upper constraints for parameter search:
0.1	35	265	0	0	0	-0.1108	-0.0167	0
25	145	295	1.2	1e+06	2500	-0.0104	0.0167	1
% Number of solutions in restart file: 0
% Size of search set:
225
% Absolute precision for stopping criterion, epsilon0:
0.0001
%    n	        chiR2	    nu	         beta01	         beta02	         beta03	         beta04	         beta05	         beta06	         beta07	         beta08	         beta09
     1	        23.2268	   257	        2.77699	        91.5049	        269.572	       0.406967	        359029.	        2215.18	     -0.0581769	     0.00953762	       0.496229
     2	        15.9724	   243	        21.1549	        94.4124	        276.789	       0.546713	        507237.	        401.370	     -0.0720424	     0.00822088	      0.0284956
     3	        19.8960	   255	        13.8099	        95.8522	        273.402	       0.494948	        668446.	        2006.56	     -0.0858213	     0.00654698	       0.392732
     4	        36.8917	   214	        12.9680	        81.8490	        284.441	        1.03543	        617472.	        1784.87	     -0.0310219	      0.0165539	       0.137500
     5	        24.3622	   265	        17.0290	        78.3018	        269.182	       0.767457	        506375.	        2253.69	     -0.0559834	     0.00642745	       0.754611
     6	        29.0974	   236	        12.1257	        82.2373	        273.657	       0.891957	        308801.	        1462.67	     -0.0391804	     -0.0133028	       0.557544
     7	        6.88038	   270	       0.307662	        78.6391	        282.716	       0.884880	        932155.	        2498.00	     -0.0684878	    -0.00562572	       0.594933
     8	        39.7336	   275	        1.76676	        80.5288	        285.843	       0.717614	        846036.	        2087.87	     -0.0311857	      0.0150561	      0.0341200
     9	        148.903	   263	       0.359103	        71.6405	        266.042	       0.603657	        14014.2	        1842.70	      -0.108502	      0.0116323	       0.744428
    10	        38.1596	   279	        15.1076	        75.8603	        270.340	       0.100402	        504423.	        918.312	     -0.0189125	     0.00396376	       0.554361
    11	        7.17525	   284	        11.9131	        72.2714	        286.134	       0.190935	        611970.	        2460.28	     -0.0575787	     0.00150405	       0.585491
    12	        9.25145	   268	        21.5282	        109.612	        283.882	       0.740955	        42109.3	        191.492	     -0.0867960	    -0.00296208	       0.376562
    13	        30.0398	   267	        9.77080	        110.298	        266.210	       0.343999	        233037.	        2448.09	     -0.0319422	     -0.0125911	       0.416402
    14	        36.2591	   262	        3.34063	        117.522	        271.738	       0.135402	        943363.	        1661.50	     -0.0545352	      0.0157715	      0.0428088
    15	        18.0471	   278	        22.9460	        115.529	        269.852	       0.254475	        136052.	        1328.65	     -0.0861453	     0.00342579	       0.733169
    16	        36.3459	   262	        17.6509	        60.0999	        267.159	       0.365404	        582705.	        912.963	      -0.107564	   -0.000645912	       0.121640
    17	        24.5558	   225	        22.4724	        141.065	        275.367	       0.863990	        162772.	        1090.09	     -0.0941545	     0.00782081	       0.363581
    18	        12.8194	   289	        4.99263	        59.2074	        285.741	       0.916075	        967515.	        2326.69	     -0.0958314	    -0.00454411	       0.377865
    19	        10.8918	   288	        24.1711	        51.5758	        279.693	      0.0662257	        540625.	        501.020	     -0.0699088	    -0.00971066	       0.688672
    20	        60.0092	   263	        14.7890	        44.8055	        275.451	       0.541654	        86529.8	        602.773	      -0.110640	      0.0127389	       0.864557
    21	        9.31503	   211	        24.0244	        129.056	        286.720	        1.17372	        147402.	        1447.16	     -0.0810822	     0.00433071	       0.799128
    22	        34.1568	   251	       0.516925	        117.872	        284.991	       0.335879	        317574.	        928.903	     -0.0283293	     -0.0138579	     0.00329175
    23	        41.6991	   222	        21.2803	        136.923	        275.998	        1.02738	        220187.	        2067.00	     -0.0904912	      0.0155258	      0.0764225
    24	        9.11203	   181	        24.8503	        140.835	        293.746	        1.10324	        333820.	        924.111	     -0.0833688	    -0.00176599	       0.405958
    25	        11.6535	   219	        19.1473	        121.959	        286.700	       0.886380	        361119.	        1735.07	     -0.0436967	     0.00237873	       0.882077
    26	        12.3911	   272	        10.9888	        57.7356	        284.961	       0.539663	        38792.0	        1803.57	     -0.0627514	     0.00812573	       0.456240
    27	        16.5021	   250	       0.228841	        91.6380	        289.330	       0.181187	        802913.	        1655.87	     -0.0696379	      0.0106938	       0.958743
    28	        36.9647	   296	        24.7627	        55.7563	        271.763	       0.110870	        98771.9	        2235.21	     -0.0274424	     0.00417748	       0.166849
    29	        45.7413	   270	        18.3647	        93.9917	        267.426	       0.718643	        426777.	        1793.17	     -0.0136867	    -0.00563361	       0.859875
    30	        15.3859	   292	        17.1058	        82.2421	        279.090	       0.215108	        402283.	        1989.32	     -0.0329881	     0.00101743	       0.511494
    31	        20.0426	   267	        1.91653	        84.6067	        281.660	       0.352115	        79349.5	        1152.49	     -0.0367184	      0.0103185	      0.0184636
    32	        12.0611	   219	        15.5620	        93.0819	        291.681	       0.846061	        572546.	        2153.80	     -0.0587326	    -0.00488889	       0.642925
    33	        26.4636	   287	        22.0881	        78.9721	        277.958	       0.417924	        938236.	        2198.42	     -0.0866957	      0.0120493	       0.672998
    34	        15.0342	   249	        22.2216	        88.5220	        266.551	       0.457808	        961758.	        306.905	     -0.0433050	   -0.000817598	       0.930158
    35	        18.7842	   279	        4.21809	        77.4075	        285.863	       0.979725	        421786.	        2265.09	     -0.0737239	     -0.0127297	       0.704909
    36	        11.1470	   253	        14.1697	        141.751	        281.444	       0.466418	        156377.	        460.054	     -0.0737767	     0.00613130	       0.646972
    37	        35.0087	   224	        13.4930	        117.740	        273.654	       0.528333	        895406.	        541.007	     -0.0191342	     -0.0110313	       0.741060
    38	        41.7054	   262	        23.6852	        49.6313	        267.655	       0.847915	        713976.	        1840.97	     -0.0265497	   -0.000809030	       0.571680
    39	        23.8857	   270	        6.57477	        96.2801	        265.061	       0.192664	        422460.	        2230.31	     -0.0504064	     0.00983750	       0.160708
    40	        36.4472	   258	        9.72134	        65.6310	        268.674	        1.16723	        872953.	        2264.64	     -0.0353163	     0.00805237	       0.380448
    41	        22.4217	   222	        23.7757	        77.3053	        265.154	        1.18096	        546820.	        581.459	     -0.0551419	     0.00684250	       0.977737
    42	        24.5361	   287	        11.6820	        74.6879	        273.689	      0.0562166	        784100.	        1486.18	      -0.100353	    -0.00828264	       0.240593
    43	        26.5785	   230	        16.0270	        77.6440	        270.115	        1.19003	        492151.	        2038.15	     -0.0833084	     0.00885820	       0.759376
    44	        16.6649	   259	        10.3975	        49.9868	        294.055	       0.538846	        87675.4	        78.4672	     -0.0470681	     -0.0100649	       0.276529
    45	        19.3523	   293	        24.0501	        68.1933	        277.040	      0.0704328	        657545.	        950.604	     -0.0356534	    -0.00999064	       0.918809
    46	        33.8258	   284	        12.7091	        42.9224	        290.287	       0.700170	        964672.	        2166.98	     -0.0238357	     0.00240761	       0.858497
    47	        27.0272	   271	        6.39363	        43.9583	        281.839	       0.979919	        765514.	        696.623	     -0.0415393	     -0.0135906	       0.841374
    48	        23.2016	   262	        20.8879	        137.892	        267.123	       0.334432	        919427.	        1390.57	     -0.0667594	     0.00639803	       0.332296
    49	        42.0293	   259	        21.5536	        131.832	        289.958	       0.508528	        243121.	        2393.56	     -0.0164763	    -0.00454008	       0.395801
    50	        32.2260	   278	        8.06761	        43.8030	        285.363	       0.692613	        955177.	        585.432	     -0.0883201	      0.0141728	       0.543774
